0
 Sheikh Mukhtar
 Yvonne Brothier
Cecil Aagaard & His Swingers
Richard Rodgers
 Various Artists
The Original St Louis Crackerjacks
Benjamin Britten
 Robert Tear
 Dale Clevenger
 Carlo Maria Giulini
 Chicago Symphony Orchestra
Gene Rodemich
Burl Ives
Raavu Balasaraswathi
 Angel Ramos
Mandi e Sorocabinha
Lester Lanin
Sridhar Parsekar
 Master Krishnarao
Fritz Kreisler
 Michael Rabin
The Pogues
 Kirsty MacColl
Tito Schipa
Jean Moscopol
Ray McKinley
 Bud Freeman
Roy Webb
 Constantin Bakaleinikoff
Tom Darby
 Jimmie Tarlton
Billy Wright
Jitendranath Das
Κος Χρήστος
Panditrao Nagarkar
Tony Graham
Karan Dewan
Neena
 Stellios Hrisinis
"""LOrchestra Italiana"""
Erich Wolfgang Korngold
Legión Española
Frances Langford
Serafim Gerotheodorou
Henri Garat
Shyam Kumar
 James Singh
The Ultimate Theatre Experiences
Motibai
Illinois Jacquet
 Lorenzo Molajoli
 Orchestra Del Teatro Alla Scala
 Milano
 Shireen
D.P. Korgaonkar
Ratnaprabha
Jelly Roll Morton & His Red Hot Peppers
Anton Bruckner
Laisla
 Trio Lescano
Michel De Villers
Henry Purcell
Renuka Devi
Amar
Sigmund Romberg
S. D. Batish
 Alexander Kipnis
 Paul Baumgartner
Sahu Modak
Stephanie Woodford
 The Dorsey Brothers
Ray Noble
Pello Revolvers
Adolfo Berón
Eugénie Buffet
 René De Buxeuil
Cootie Williams
Abe Lyman’s Orchestra
 Abe Lyman
Ben Bernie
 Ben Bernie & His Orchestra
Elaine Stritch
Vasumati Divetia
Esperanza Spalding
George Frideric Handel
 The Liverpool Philharmonic Orchestra
 Sir Malcolm Sargent
Kakkia Mendri
 Lidia Likiardopoulou
Ferdausi Rahman
 Marcelo Álvarez
 Carlo Rizzi
 Welsh National Opera Orchestra
Fida Hussain
 Harimati
Roy Acuff
Kriszta Kovats
Naseem Bano
Balwant Singh
 Elisabeth Ohms
 Adele Kern
 Elfriede Marherr
 Unknown Orchestra
 Julius Pruwer
Sexteto Habanero
Xavier Cugat & His Orchestra
Dooley Wilson
Surinder Kaur
 Pierre Boulez
Janet de Almeida
 Sahu Modak
Ying Yin Wu
 Rama Shukul
Luis de Milan
Kamla Varekar
Πέτρος Κυριακός
Unspecified
Slowburner
 The Pinafores
 William Primrose
 Izler Solomon
Nikolai Rimsky-Korsakov
 Vitya Vronsky
 Victor Babin
 Gordon Jenkins
 His Orchestra
 Axel Stordahl Orchestra
Fernando Pessoa
Felix Mendelssohn
Arthur Askey and cast
H Khan Mastana
Count Basie & His All American Rhythm Section
Frente Popular
Freddy Martin & His Orchestra
 Alice Faye
 Velma Middleton
Tiroler Landestrachtenverband
Leela Chitnis
Charlie Palloy
Marika Ninou
Édouard Lalo
 Pierre Monteux
 Yehudi Menuhin
Richard Levitt
 Charles Byrd
 Carl Tucker
Mistinguett
Coro Infantil Sinfonico
 Kantilal
Bing Crosby
 Buddy Cole Trio
Talat Mahmood
Johnny Horton
Cole Porter
 Alfred Drake
 Pembroke Davenport
 Original Broadway Cast Orchestra
Alix Combelle & His Orchestra
 Alix Combelle
Isham Jones
 N. M. Adhikari
Λάμπρος Σαββαίδης
 Αγάπιος Τομπούλης
 Δημήτρης Σέμσης
"""Niels Foss Shortwave Band"""
Sanjay Oza
Leonard Bernstein
 The Andrews Sisters
 Roger Desormière/Choeurs Yvonne Gouverné/Orchestre Symphonique de Paris
 Roger Desormiere
 Orchestre Symphonique De Paris
Valdemar Davids
 Raoul Koczalski
Avery Robinson
 Odetta Gordon
Pablo de Sarasate
Woody Herman & His Orchestra
Antonio Bazzini
 Concert Hall Orchestra
M. N. Ramachandra
Adriana Chamorro
 Cali Big Band
Prakash
Dimitris Arapakis
ОТВАЛ БАWKN
 Cartier99
 Lil Uzi Kop
 Hackequation
Ray Collins
 Orson Welles
 Helen Hayes
 Everett Sloane
 Ernest Chappell
 Effie Palmer
 Carl Frank
 Al Swenson
William Walton
 Walter Cassel
Lester Young
Harry S. Truman
 Maryla Jonas
 Francisco Amor
 Margarete Teschemacher
 Torsten Ralf
Manuel de Falla
Sloppy Henry
 Nikos Rellias
 Klarino
Dinah Shore
Jack Smith & His Orchestra
 Jack Smith
S. Varalakshmi
Rafique Gaznavi
Bob Crosby & His Orchestra
 Bob Crosby
Dmitry Kabalevsky
 Guillermo Coral
Sabitri Ghosh
Τέτος Δημητριάδης
Huddie Ledbetter
Charpin
 Mouries
 Vattier
 Raimu
Jam Session
 P. B. Sreenivas
Κώστας Καρίπης
Ιωάννης Ιατρού
Kanan Devi
George Butterworth
 John Cameron
Harold Arlen
 E.Y. Harburg
 Roger Edens
Leonard Rosenman
 Carlos Roldán
Dranem
Danzonera La Playa
 Chola Luna
James Lyman Molloy
 Eileen Farrell
 Charles Lichter
Aretha Franklin
Lee Remick
Om Kalthom
 The Mills Brothers
 Sylvio Caldas
Max Steiner
 Renu
 Anonymous
Biswarup Ghoshdastidar
Petros Epitropakis
Art Lund
 Peggy Lee
EOR
Enid Blyton
Margarita Cueto
 Juan Arvizu
Ben Selvin & His Orchestra
 Ben Selvin
Boots and His Buddies
Bechu Dutta
Bedřich Smetana
 Marie Podvalová
 Stanislav Muž
 Vilém Zítek
 Josef Vojta
 Ota Horáková
 Marta Krásová
 Jaroslav Veverka
 Prague National Theatre Chorus
 Prague National Theatre Orchestra
 Jan Maria Ouředník
 Václav Talich
 Josef Křikava
 Pierre Fresnay
 Oriane Demazis
P. U. Chinnappa
Uma Devi
 Moti Bai
Indrabadan Bhatt
 Emanuel Feuermann
Maxine Sullivan
Aurora Miranda
Bharati Devi
Oliver Wallace
 Frank Churchill
 Carl Cotner & His Orchestra
Lily Strickland
" ""Bob Sawyers Jazz Band"""
Dimitris Perdikopoulos
Mlle Davia
Jack Jackson & His Orchestra
Charlie Parker
Alvarenga E Ranchinho
 Esa-Pekka Salonen
Muzio Clementi
Purushottam Upadhyay
Ghulam Haider
Marika Frantzeskopoulou
The Ally Boys of Abbeville
Pasupuleti Kannamba
Qatar Concert Choir
 Giovanni Pasini
Glenn Miller
 Frédéric Chopin
 Emmanuel Bay
Louis Prima
" Joe ""Wingy"" Manone"
Jeff Stetson
Mustafa
Jean Sibelius
 Sir Thomas Beecham
Pills
 Tabet
Johnny Guarnieri
Legend The Band
Miss Bibbo
 Surendra
Dipali Nag
 Frank DeVol & His Orchestra
 Donald Voorhees
Carolina Cardoso de Menezes
 Garoto
JC Heard & His Orchestra
 Ethel Waters
Hot Lips Page & His Orchestra
Rise Stevens
 Lady in the Dark Ensemble (1963)
Orkestr Borisa Shermana
 Boris Sherman
 Rostislav Pljatt
 Vasiliy Kachalov
 Mikhail Janshin
 Karan Dewan
 His Rhythm and Orchestra
 Ellis Larkin
Manuel Pomian
 Oliviero de Fabritiis
" ""Orchestra Del Teatro DellOpera Di Roma"""
Chanchal Kumari
 Percy Faith & His Orchestra
Vicente Celestino
Lew Sherwood
ชยุดี วสวานนท์
Russ Morgan
 Sir Colin Davis
 Bavarian Radio Symphony Orchestra
Markos Vamvakaris
Béla Bartók
William Harris
Barış Manço
Frank Morgan
 Jack Haley
 Bert Lahr
 Charles Irwin
 Lois January
 Elivda Rizzo
 Bobby Watson
 Lorraine Bridges
 Tyler Brook
 Oliver Smith
 Ralph Sudam
Thelonious Monk
 Gyorgy Sandor
Leroy Holmes And His Orchestra
Maya Banerjee
 Harish
Jeff Beatman
Λαϊκή Ορχήστρα Μιχάλη Φελουζή
Charlie Ventura and His Orchestra
 Charlie Ventura
Hociel Thomas
Nat Shilkret
 Gene Austin
 Alfred Cortot
Svend Asmussens Sekstet
Art Tatum
Al Jolson
Lena Horne
Kostas Roykoynas
Iván Rolón
Bunny Berigan & His Orchestra
Isaac Stern
Nilla Pizzi
 Duo Fasano
Tabet
 Pills
 Mireille
Satya Chowdhury
Pinakin Shah
 Sulochana Vyas
 Premlata
 Gottfried von Freiberg
Chinmoy Lahiri
 Francis Poulenc
 Peter Raabe
"""Dykes Magic City Trio"""
Trade Martin
 Karl Krueger
 Detroit Symphony Orchestra
Vatsala Kumthekar
Geeta Sen Naha
Les Brown
G. A. Chishti
Mississippi John Hurt
George Olsen & His Orchestra
 George Olsen
 Royal Philharmonic Orchestra
The Soft Winds
 The Mitchell Choirboys
Sardar Akhtar
Algorisms
Khursheed
Leo Albano
 Eduardo Adrian
N. Vlădoianu
 N. Constantinescu
 Ion Vasilescu
 Mia Braia
 Petre Alexandru
Mohammed Abdel Wahab
Link Davis
 Julie Andrews
 Alfred Antonini
 Jon Cypher
Blind Boy Fuller
Kate Smith
 Luis Scalon
Horace Heidt And His Orchestra
 Horace Heidt
Felipe V. Rivera
 Orquesta Tipica Boliviana
 William Masselos
Kesari
 Popatlal
Bhanumathi Ramakrishna
Kostas Roukounas
 Helen Arden
 Hope Emerson
 Ellen Repp
 Wilson Smith
 Street Scene Orchestra
Sam Price
"""Ted Daffans Texans"""
Willie Lewis
 Negro Band
Mel Torme & the Mel-Tones
 Francesco Valentino
Mohanakumari
Jack Payne
 His BBC Dance Orchestra
Leela Pawar
 Master Amritlal
Franz Liszt
 Snehprabha Pradhan
 Bavarian State Orchestra
M. V. Subbaiah Naidu
 Lakshmi Bai
 R. Nagendra Rao
 Ganapathibhat
 Kamala Bai
 B.S. Raja Iyengar
 G. V. Krishnamurthy
Sati Devi
 Leith Stevens And His Orchestra
Stanley Black
Y. Rosnblatt
Andre Kostelanetz & His Orchestra
Giorgos Papasideris
Walter Barnes
 The Royal Creolians
Pete Woolery
Jan Savitt & His Orchestra
 Jan Savitt
Michael William Balfe
" ""LOrchestre de la Suisse Romande"""
 Ernest Ansermet
The Pied Pipers
Justice & Jarvis
N. S. Krishnan
 Durai Raj
Sam Collins
Coleman Hawkins
Zavaidoc
 Albert Schweitzer
Jay Stutes
 Kalyani
 Zohrabai Ambalawali
Eddie Cantor
Dimitris Atraidis
 Ada Falcón
 Keely Smith
Γιώργος Βιδάλης
Chi Lameo
K Dutta
 Maria Caniglia
Doris Day with orchestra conducted by Robert Mersey
Joe Jackson
 Mary Rowell
 Allison Cornell
 Sue Hadjopoulos
 Dawn Upshaw
 Suzanne Vega
Theo Lingen
 Gunter Neumann
 Werner Oehlschlaeger
Earl Grant
 Joseph Gershenson conductin the Universal International Orch.
Mad Dog
 Meltdown
Michael Morgan Wise
 Amadeus Quartet
Otto Reutter
George Shearing
 Polyna Stoska
 Street Scene Enesemble
 Chittoor V. Nagaiah
Emmanuel Chabrier
 Pierre Bernac
Στέλιος Κερομύτης
 Οδυσέας Μοσχονάς
Shiny Gnomes
Duo Fasano con Orchestra Angelini
Raquel Rastenni
Fromental Halévy
 Wilfrid Pelletier
Willie Dixon
Sunder Singh
The University Six
Jacob Do Bandolim
Nahid Niazi
Vaughn Monroe
Marie Dubas
 Ben Pollack & His Orchestra
Gustav Mahler
Ken Watanabe
 Hervé Laforest
Titi Botez
 Otto Graef
"""Anita ODay"""
 Gene Krupa & His Orchestra
Mahmut Celalettin
Tino Rossi
Nhô Pai e Nhô Fio
Leo Soileau
 Sir John Barbirolli
S. Janaki
Trio Lescano
Mumtaz
James Piano Bar
Abbasuddin Ahmed
Makbule Enver Hanım
Zohrabai Ambalewali
 Parul Ghosh
Earl Hines & His Orchestra
 Frederick Dvonch
 Mary Martin
 Patricia Neway
 Lauri Peters
Manorama
 P. Leela
Frank Churchill
 Felix Gutierrez
Rashîd al-Qundarjî
Warner Bros Studio Orchestra
 Luis Cobos
Tonico e Tinoco
Iqbal Bibi
Kusum Mantri
 Ray Sinatra
 Philharmonia Orchestra
 Andrew Davis
"""Arne Lamberths Progressive Jazz"""
The Merlons
Mildred Bailey & Her Swing Band
Dick Jurgens & His Orchestra
 Dick Jurgens
Numba 9
 Cass County Boys
Lars Lervik
Alexander Scriabin
 Agustín Irusta
Georgius
Al Dexter & His Troopers
 Lehman Engel
 Nelson Eddy
 Virginia Haskins
 Portia Nelson
Aram Khachaturian
Billy Eckstine
 L. Likiardopoulou
Elmer Bernstein conducting The United Artists Studio Orch.
Jack Teagarden And His Orchestra
Rajkumari Calcuta
Jyoti
 Kitty Kallen
Vanmala
 Luis de Milán
 Freddy Martin
